所属国,类型,名,谥号,别名,父亲,上一任,下一任,出生年,死亡年,登基年,退位年,备注
上古,天子/皇帝,轩辕,黄帝,公孙轩辕,少典,,帝颛顼,,-2599,-2698,-2599,姓公孙，名轩辕。001-001即位，001-009崩逝于桥山，葬桥山，孙高阳立。
上古,天子/皇帝,高阳,帝颛顼,,昌意（黄帝次子）,黄帝,帝喾,,-2437,-2514,-2437,黄帝之孙、昌意之子。001-010即位，001-012崩，玄嚣之孙高辛（帝喾）立。
上古,天子/皇帝,高辛,帝喾,,玄嚣（黄帝长子）之孙,帝颛顼,帝挚,,-2367,-2437,-2367,黄帝曾孙、玄嚣之孙。001-012即位，001-014崩。生放勋（尧）和挚。
上古,天子/皇帝,挚,帝挚,,帝喾（母为娵訾氏之女）,帝喾,帝尧,,,-2366,-2357,帝喾之子。001-015即位，治理不善让位给弟放勋（帝尧）。
上古,天子/皇帝,放勋,唐尧,帝尧,帝喾（母为陈锋氏之女）,帝挚,帝舜,,-2259,-2357,-2259,帝喾之子。001-016即位，001-031崩，在位约七十年，摄政二十八年让舜。
上古,天子/皇帝,重华,虞舜,帝舜,瞽叟,帝尧,夏禹,-2317,-2217,-2256,-2217,001-025摄政，001-033践天子位。在位三十九年，崩于苍梧之野（江南九疑）。年二十以孝闻，六十一践帝位。
东周,天子/皇帝,宜臼,平王,周平王,幽王,幽王,桓王,,,-770,,004-046平王东迁雒邑（前770年），开始东周时代。
东周,天子/皇帝,,桓王,周桓王,,平王,庄王,,,-719,,004-047桓王十三年伐郑受伤（前707年）。
东周,天子/皇帝,佗,庄王,周庄王,,桓王,釐王,,,-696,,004-048庄王诛周公黑肩（前694年）。
东周,天子/皇帝,胡齐,釐王,周釐王|周惠王的前任,,庄王,惠王,,,-681,,004-049釐王三年（前679年）齐桓公始霸。
东周,天子/皇帝,阆,惠王,周惠王,,釐王,襄王,,,-676,-652,004-050惠王之乱（前675年-前673年），004-051惠王十年赐齐桓公伯（前667年）。
东周,天子/皇帝,郑,襄王,周襄王,惠王,惠王,顷王,,-619,-651,-619,004-052襄王避叔带之乱（前649-前635年），004-053晋文公召王河阳（前632年）。
东周,天子/皇帝,壬臣,顷王,周顷王,襄王,襄王,匡王,,,-618,,004-054顷王壬臣立（前619年）。
东周,天子/皇帝,班,匡王,,顷王,顷王,定王,,-607,-612,-607,014表格，前612—前607年在位
东周,天子/皇帝,瑜,定王,,匡王,匡王,简王,,-586,-606,-586,014表格，前606—前586年在位
东周,天子/皇帝,夷,简王,,定王,定王,灵王,,-572,-585,-572,014表格，前585—前572年在位
东周,天子/皇帝,泄心,灵王,,简王,简王,景王,,-545,-571,-545,014表格，前571—前545年在位
东周,天子/皇帝,贵,景王,周景王,,,悼王/敬王,,,-544,-520,004-058景王二十年立嗣之争（前525年），景王崩后悼王/敬王之争。
东周,天子/皇帝,猛,悼王,,景王,景王,敬王,,-519,-520,-519,在位仅数月，前520年，史称王子朝之乱
东周,天子/皇帝,匄,敬王,,景王,悼王,元王,,-477,-519,-477,014表格，前519—前477年在位
东周,天子/皇帝,仁,元王,,敬王,敬王,定王,,-469,-476,-469,015表格，前476—前469年在位，六国年表起始
东周,天子/皇帝,,贞定王,,,,,,,-468,,015表格，前468—前441年在位
东周,天子/皇帝,,哀王,,定王,定王（贞定王）,思王,,-441,-441,-441,前441年在位仅三月，为弟思王所杀
东周,天子/皇帝,,思王,,定王,哀王,考王,,-441,-441,-441,前441年在位仅五月，为弟考王所杀
东周,天子/皇帝,午,威烈王,周威烈王,,,,,,-425,-402,004-065威烈王二十三年（前403年）命三晋为侯。
东周,天子/皇帝,,赧王,王赧|周赧王,,,,,-256,-314,-256,004-076秦灭西周（前256年），004-077周亡九鼎入秦。赧王崩，周绝祀。
