关系类型,人物1,人物2,方向,章节,上下文
兄弟,赵盾,亦卒；,↔,005_秦本纪,@康公@。  ## @康公@至@景公@  [34] @康公@%元年%。往%岁%@缪公@之卒，@晋襄公@亦卒；@襄公@之弟名@雍@，&秦&出也，在&秦&。&晋&@赵盾@欲立之，使@随会@来迎@雍@，&秦
兄弟,乃立,亡走&赵&；,↔,094_田儋列传,追之。而@田荣@怒&齐&之立@假@，乃引兵归，击逐&齐&王@假@。@假@亡走&楚&。&齐&$相$@角@亡走&赵&；@角@弟@田间@前求救&赵&，因留不敢归。@田荣@乃立@田儋@子@市@为&齐&王。@荣
兄弟,杀,桓公鲍,↔,036_陈杞世家,君@隐公@。  ## @厉公篡位与陈敬仲奔齐@  [8.8] %三十八年%%正月%%甲戌%%己丑%，@桓公鲍@卒。@桓公弟@佗@，其母~蔡女~，故~蔡人~为@佗@杀@五父@及@桓公@$太子$@免@而立
兄弟,招,哀公,↔,036_陈杞世家,郑&，长姬生$悼太子$@师@，少姬生@偃@。二嬖妾，长妾生@留@，少妾生@胜@。@留@有宠@哀公@，@哀公@属之其弟$司徒$@招@。@哀公@病，%三月%，@招@杀$悼太子$，立@留@为$太子$。@哀公
兄弟,周公,、,↔,004_周本纪,@周公@  [21] @成王@少，&周&初定〔天下〕，@周公@恐诸侯畔&周&，公乃摄行政当国。@管叔@、@蔡叔@群弟疑@周公@，与@武庚@作乱，畔&周&。@周公@奉@成王@命，伐诛@武庚@、@管叔@，
兄弟,延年,言,↔,125_佞幸列传,] @李延年@，=中山=人也。父母及身兄弟及女，皆故倡也。@延年@【坐法】腐，给事狗中。而@平阳公主@言@延年@女弟善舞，上见，心说之，及入^永巷^，而召贵@延年@。@延年@善歌，为变新声，而上方兴^
兄弟,帝南庚,帝祖丁,↔,003_殷本纪,@崩，弟@沃甲@立，是为@帝沃甲@。@帝沃甲@崩，立@沃甲@兄@祖辛@之子@祖丁@，是为@帝祖丁@。@帝祖丁@崩，立弟@沃甲@之子@南庚@，是为@帝南庚@。@帝南庚@崩，立@帝祖丁@之子@阳甲@，是为
兄弟,景驹,雍齿,↔,008_高祖本纪,公$引兵攻=丰=，不能取。  [12.12] $沛公$病，还之=沛=。  [12.13] $沛公$怨@雍齿@与=丰=子弟叛之，闻=东阳=$甯君$、@秦嘉@立@景驹@为$假王$，在=留=，乃往从之，欲请
兄弟,湣公,湣公共,↔,038_宋微子世家,，子$@宋公稽@$立。$@宋公稽@$卒，子$@丁公申@$立。$@丁公申@$卒，子$@湣公共@$立。$@湣公共@$卒，弟$@炀公熙@$立。$@炀公@$即位，$@湣公@$子@鲋祀@弑$@炀公@$而自立，曰
兄弟,李园,李园,↔,078_春申君列传,嗣养死士  [19] =楚=@考烈王@无子，@春申君@患之，求妇人宜子者进之，甚众，卒无子。=赵=人@李园@持其女弟，欲进之=楚=王，闻其不宜子，恐久毋宠。@李园@求事@春申君@为$舍人$，已而谒归，
兄弟,戴伯,幽伯,↔,035_管蔡世家, @夷伯@%二十三年%，&周&@厉王@奔于=彘=。  [27.27] %三十年%卒，弟@幽伯彊@立。@幽伯@%九年%，弟@苏@杀@幽伯@代立，是为@戴伯@。@戴伯@%元年%，&周&@宣王@已立%三岁%
兄弟,魏其侯,窦太后,↔,049_外戚世家,封@广国@为$@章武侯@$。$@长君@$前死，封其子@彭祖@为$@南皮侯@$。&吴&、&楚&反时，$@窦太后@$从昆弟子@窦婴@，任侠自喜，将兵，以军功为$@魏其侯@$。~窦氏~凡%三人%为侯。  [
兄弟,、,周公旦,↔,013_三代世表, --- | --- | --- | --- | --- | |  [r1] @成王@诵  |  鲁@周公旦@，@武王@弟。初封。  |  齐@太公@尚，@文王@、@武王@师。初封。  |  @晋唐叔
兄弟,|,燮  |  女防  |  熊乂  |,↔,013_三代世表,|  [r2] @康王@钊刑错四十余年。  |  鲁@公伯禽@  |  @丁公吕伋@  |  @晋侯@燮  |  女防  |  熊乂  |  @微仲@，启弟。  |  @康伯@  |  @申公@  |
